country_label,year,growth_gdp,inflation,popul,log_popul,startbusin,unemp,urban,schooling,rule_of_law,voice_account,pol_stability,gov_effective,regulatory_qual,control_corrup,dummy_eu,covid_year,dummy_oecd
France,2020,-8.30941150626434,2.247016845697544,67391582,18.02603067193993,93.1,8.01,80.975,10,1.327411413192749,1.069430232048035,0.3125098049640656,1.247808337211609,1.195965647697449,1.153109073638916,1,1,1
Georgia,2014,4.382901471363553,4.231954328189502,3719414,15.12907668695895,97.7,17.44,57.067,9,0.1908430159091949,0.2846659719944,-0.3215075433254242,0.4889219999313354,0.9339861869812012,0.7860679030418396,0,0,0
Georgia,2015,2.860094242898555,5.833119136357794,3725276,15.13065150101071,97.7,16.51,57.448,9,0.2714226543903351,0.2745879292488098,-0.4660818874835968,0.4042413830757141,0.9224599003791809,0.6799067854881287,0,0,0
Georgia,2016,2.844902054505667,2.619318295710656,3727505,15.13124966700175,97.7,16.6,57.837,9,0.3836237788200378,0.2952145338058472,-0.3132914900779724,0.517942488193512,1.008661031723022,0.6854092478752136,0,0,0
Georgia,2017,4.828569855095736,8.491046668703547,3728004,15.13138352774842,97.8,13.94,58.231,9,0.3208365142345428,0.2647962868213654,-0.3707961142063141,0.5757037401199341,1.051974654197693,0.74076247215271,0,0,0
Georgia,2018,4.883854929374735,4.361109043529581,3726549,15.13099316228493,97.8,12.67,58.632,9,0.3277741372585297,0.2208919376134872,-0.4415735602378845,0.6117710471153259,1.125410914421082,0.7094994187355042,0,0,0
Georgia,2019,5.162618816947614,5.192391453408177,3720161,15.12927750488269,99.3,11.57,59.039,9,0.3104377388954163,0.1687202304601669,-0.4883826375007629,0.8287398815155029,1.121731877326965,0.7007192373275757,0,0,0
Georgia,2020,-6.004005115212905,6.898503930992007,3714000,15.12762002089479,99.6,18.5,59.453,9,0.2859657406806946,0.05540179833769798,-0.4307931065559387,0.7875009775161743,1.108766674995422,0.5959197282791138,0,1,0
Germany,2014,1.784341886146905,1.877939853749112,80982500,18.20974363991197,81.8,4.98,77.19,13,1.854514002799988,1.436330318450928,0.9251864552497864,1.671297430992126,1.703042984008789,1.816781401634216,1,0,1
Germany,2015,0.6171053532198982,1.853678824088021,81686611,18.21840066635147,81.4,4.62,77.2,13,1.794227838516235,1.4219970703125,0.6998242735862732,1.686972618103027,1.723077774047852,1.817157387733459,1,0,1
Germany,2016,1.408102075489225,1.327752222695452,82348669,18.22647285173721,82.7,4.12,77.224,13,1.621759414672852,1.364374995231628,0.6813634037971497,1.696211814880371,1.817015647888184,1.826143383979797,1,0,1
Germany,2017,2.219242850725365,1.354187955425189,82657002,18.23021009733617,83.5,3.75,77.261,13,1.614979028701782,1.432261824607849,0.5877214670181274,1.653180241584778,1.786195278167725,1.843528389930725,1,0,1
Germany,2018,0.9641147157641825,1.672580165870485,82905782,18.23321536435609,83.5,3.38,77.312,13,1.631583333015442,1.431258916854858,0.5912753343582153,1.562705397605896,1.762925148010254,1.936917185783386,1,0,1
Germany,2019,0.3289338780308384,2.192462941068143,83092962,18.23547056309821,83.6,3.14,77.376,13,1.620687484741211,1.355591177940369,0.5743085741996765,1.531162261962891,1.723189830780029,1.903284311294556,1,0,1
